Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utmEasting,utmNorthing,zone,letter,quality
1697065622.7073812,223,83180,0,GPS1_Frame,42.33864820666667,-71.08867882166666,9.069,327937.17466611404,4689489.831218981,19,T,5
1697065624.8223004,224,83181,0,GPS1_Frame,42.338648391666666,-71.08867894833334,9.131,327937.164735631,4689489.852018146,19,T,5
1697065626.9366531,225,83182,0,GPS1_Frame,42.33864853833333,-71.088678885,9.208,327937.17035321705,4689489.868176202,19,T,5
1697065629.0513592,226,83183,0,GPS1_Frame,42.33864856333334,-71.08867872333333,9.327,327937.1837398679,4689489.870625118,19,T,5
1697065631.165911,227,83184,0,GPS1_Frame,42.338648766666665,-71.08867871,9.422,327937.1853929049,4689489.893176759,19,T,5
1697065633.2793999,228,83212,0,GPS1_Frame,42.33860462,-71.08860877333333,8.856,327942.8265222977,4689484.849504634,19,T,1
1697065635.392793,229,83213,0,GPS1_Frame,42.338596736666666,-71.08860031,9.826,327943.5022495203,4689483.956994733,19,T,1
1697065637.506846,230,83214,0,GPS1_Frame,42.338588056666666,-71.08859228333333,7.49,327944.1398304383,4689482.976904718,19,T,5
1697065639.620157,231,83215,0,GPS1_Frame,42.33858123666667,-71.08859258833333,7.601,327944.09610257903,4689482.2202127185,19,T,5
1697065641.734898,232,83216,0,GPS1_Frame,42.33857215,-71.088596055,7.735,327943.78572701616,4689481.21822225,19,T,5
1697065643.849526,233,83217,0,GPS1_Frame,42.33856241666667,-71.08859405,8.067,327943.92435633176,4689480.133352443,19,T,5
1697065646.1369843,234,83218,0,GPS1_Frame,42.33856001666667,-71.088592755,6.771,327944.02449557267,4689479.864230252,19,T,5
1697065648.2487571,235,83219,0,GPS1_Frame,42.338559608333334,-71.08859370333333,6.266,327943.9452559358,4689479.820806889,19,T,5
1697065650.3603668,236,83220,0,GPS1_Frame,42.33856078666667,-71.088593475,5.914,327943.96728042536,4689479.951189818,19,T,1
1697065652.4719067,237,83221,0,GPS1_Frame,42.33856685,-71.088597185,5.437,327943.6781794365,4689480.63198409,19,T,1
1697065654.583381,238,83222,0,GPS1_Frame,42.338576393333334,-71.08860673833334,5.064,327942.9171827084,4689481.711029971,19,T,1
1697065656.5202343,239,83223,0,GPS1_Frame,42.33859384,-71.08862298333334,6.469,327941.62646757404,4689483.681221803,19,T,1
1697065658.633066,240,83224,0,GPS1_Frame,42.338559545,-71.08855255333333,19.191,327947.3351167405,4689479.7305080015,19,T,5
1697065660.7475324,241,83225,0,GPS1_Frame,42.33858174666667,-71.088578665,16.985,327945.2445300454,4689482.248670586,19,T,5
1697065662.861715,242,83226,0,GPS1_Frame,42.338583553333336,-71.08858324666667,16.494,327944.8720093112,4689482.458558134,19,T,1
1697065664.9746766,243,83227,0,GPS1_Frame,42.338587671666666,-71.08859336,14.716,327944.05008208123,4689482.936332029,19,T,1
1697065667.086167,244,83228,0,GPS1_Frame,42.33858514666667,-71.08859005333333,16.167,327944.3156060965,4689482.649258935,19,T,1
1697065669.1969955,245,83229,0,GPS1_Frame,42.33857266,-71.08858739,12.153,327944.50096090225,4689481.2573202625,19,T,1
1697065671.3089192,246,83230,0,GPS1_Frame,42.33857822666667,-71.08858838666667,13.983,327944.4340359889,4689481.877473037,19,T,5
1697065673.420882,247,83231,0,GPS1_Frame,42.33858136,-71.08859313,16.153,327944.05181520875,4689482.235004011,19,T,5
1697065675.5328395,248,83258,0,GPS1_Frame,42.33846183833333,-71.08853507833334,8.076,327948.50826525723,4689468.8455656,19,T,5
1697065739.7240076,249,83259,0,GPS1_Frame,42.33845827333333,-71.08853272666667,8.111,327948.6922782932,4689468.444940994,19,T,5
1697065741.838017,250,83260,0,GPS1_Frame,42.338454735,-71.08853093333333,8.09,327948.83036719845,4689468.048407278,19,T,5
1697065743.9523084,251,83261,0,GPS1_Frame,42.33845118,-71.08852855,8.018,327949.0170163276,4689467.648829032,19,T,5
1697065746.2425296,252,83262,0,GPS1_Frame,42.33844666666667,-71.088526455,8.159,327949.1772981419,4689467.143418582,19,T,5
1697065748.3564365,253,83263,0,GPS1_Frame,42.338442845,-71.08852459666667,8.209,327949.3199692118,4689466.715291342,19,T,5
1697065750.470577,254,83264,0,GPS1_Frame,42.338438636666666,-71.08852366333333,8.52,327949.38538190816,4689466.246099385,19,T,5
1697065752.761156,255,83265,0,GPS1_Frame,42.33843581,-71.088522055,8.414,327949.51017110614,4689465.928965191,19,T,5
1697065755.050338,256,83266,0,GPS1_Frame,42.338432745,-71.08852116166666,8.385,327949.575406802,4689465.586812651,19,T,5
1697065757.340357,257,83332,0,GPS1_Frame,42.33840991333334,-71.088433495,7.26,327956.7353395308,4689462.874146148,19,T,5
1697065759.454426,258,83333,0,GPS1_Frame,42.338413333333335,-71.08843597,7.243,327956.54076991254,4689463.25891892,19,T,5
1697065761.5670602,259,83334,0,GPS1_Frame,42.338416108333334,-71.08843886833333,7.221,327956.309565971,4689463.572925905,19,T,5
1697065763.6804788,260,83335,0,GPS1_Frame,42.33841953,-71.08844064333333,7.218,327956.17266871204,4689463.956467414,19,T,5
1697065765.793993,261,83336,0,GPS1_Frame,42.33842299333333,-71.088442865,7.218,327955.99908757966,4689464.345539459,19,T,5
1697065767.9082386,262,83337,0,GPS1_Frame,42.338427675,-71.08844317166667,7.15,327955.9865916952,4689464.866023438,19,T,5
1697065770.0208893,263,83338,0,GPS1_Frame,42.338431215,-71.08844674666666,7.123,327955.7017286868,4689465.266347014,19,T,5
1697065772.1327996,264,83339,0,GPS1_Frame,42.33843407166667,-71.08845211166667,7.123,327955.26753738895,4689465.594413449,19,T,5
1697065774.2445056,265,83340,0,GPS1_Frame,42.338438866666664,-71.08845386333333,7.053,327955.13630794233,4689466.130405996,19,T,5
1697065776.357022,266,83341,0,GPS1_Frame,42.338442058333335,-71.08845731333334,7.02,327954.8607928499,4689466.491796921,19,T,5
1697065778.4687142,267,83342,0,GPS1_Frame,42.338448936666666,-71.08845779333333,7.366,327954.84000834427,4689467.256554755,19,T,1
1697065780.5802882,268,83343,0,GPS1_Frame,42.33844885833334,-71.08846190166666,6.998,327954.5013399781,4689467.2561691115,19,T,5
1697065782.6937253,269,83344,0,GPS1_Frame,42.33845240666667,-71.08846414833333,6.987,327954.32593128696,4689467.654730392,19,T,5
1697065784.8093717,270,83345,0,GPS1_Frame,42.33845583666667,-71.08846607166667,6.928,327954.17683689285,4689468.039497437,19,T,1
1697065786.923437,271,83346,0,GPS1_Frame,42.338458275,-71.08846981,6.989,327953.87551375775,4689468.317819874,19,T,5
1697065789.0375597,272,83347,0,GPS1_Frame,42.338460983333334,-71.08847125833333,6.923,327953.76358288334,4689468.621490226,19,T,1
1697065791.1500165,273,83348,0,GPS1_Frame,42.33846450666667,-71.08847322166666,6.932,327953.6114477924,4689469.016702178,19,T,5
