Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_Easting,UTM_Northing,Zone,Letter
1698708195.2410455,1,1698708195,239161491,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708196.2408247,2,1698708196,239091634,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708197.2407646,3,1698708197,239491939,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708198.2422261,4,1698708198,240782737,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708199.2427678,5,1698708199,241306543,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708200.242278,6,1698708200,239945888,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708201.2422347,7,1698708201,240979671,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708202.2413793,8,1698708202,239830732,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708203.2417197,9,1698708203,239692449,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708204.2383897,10,1698708204,238070487,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708205.24376,11,1698708205,241677761,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708206.2416644,12,1698708206,240099906,GPS1_Frame,42.272125,-71.02830166666666,13.8,332735.0869441767,4681982.588011665,19,T
1698708207.242699,13,1698708207,240527868,GPS1_Frame,42.272119999999994,-71.02831166666667,13.6,332734.24902953993,4681982.052453298,19,T
1698708208.2425745,14,1698708208,240654706,GPS1_Frame,42.272106666666666,-71.02833333333334,13.5,332732.426934165,4681980.614474984,19,T
1698708209.2407107,15,1698708209,239595174,GPS1_Frame,42.27208833333334,-71.02836333333333,13.4,332729.90437078965,4681978.637664844,19,T
1698708210.2411764,16,1698708210,240390539,GPS1_Frame,42.272063333333335,-71.02839333333333,13.3,332727.36417023523,4681975.920583085,19,T
1698708211.2430155,17,1698708211,240901470,GPS1_Frame,42.272035,-71.02842000000001,13.2,332725.09004625096,4681972.826816915,19,T
1698708212.2411854,18,1698708212,239469051,GPS1_Frame,42.27200333333334,-71.02843833333333,13.2,332723.4943438444,4681969.346542433,19,T
1698708213.2416596,19,1698708213,240245580,GPS1_Frame,42.27196833333334,-71.02844166666667,13.2,332723.1268574176,4681965.466660982,19,T
1698708214.2422223,20,1698708214,240751028,GPS1_Frame,42.271935,-71.02843,13.1,332724.0008160257,4681961.742376789,19,T
